Symbol,Company Name,Current Price (₹),1W Change (%),1M Change (%),Trend Score,Investment Action,Risk Level,Entry Point (₹),Stop Loss (₹),Target 1 (₹),Target 2 (₹),Potential Gain (%),Potential Loss (%),RSI,Hold Duration,Reason
INDUSINDBK.NS,IndusInd Bank Limited,994.65,5.42,12.07,57.88,WAIT,HIGH,911.86,897.93,1057.72,986.1,6.34,9.72,63.2,1-3 months,"Price near resistance, high risk"
TITAN.NS,Titan Company Limited,4586.4,2.35,13.94,57.01,WAIT,HIGH,4101.42,4042.06,4863.64,4423.1,6.04,11.87,66.3,1-3 months,"Price near resistance, high risk"
HDFCBANK.NS,HDFC Bank Limited,810.3,1.81,10.62,54.29,WAIT,HIGH,751.05,742.62,856.28,800.85,5.67,8.35,61.5,1-3 months,"Price near resistance, high risk"
BAJAJFINSV.NS,Bajaj Finserv Ltd.,1854.9,-0.04,12.85,53.65,WAIT,HIGH,1694.48,1671.88,1965.66,1820.2,5.97,9.87,65.3,1-3 months,"Price near resistance, high risk"
BAJFINANCE.NS,Bajaj Finance Limited,1010.4,-0.79,16.78,52.44,WAIT,HIGH,901.13,880.46,1086.28,1000.26,7.51,12.86,68.1,1-3 months,"Price near resistance, high risk"
ADANIENT.NS,Adani Enterprises Limited,3046.9,-4.11,4.79,51.5,BUY ON DIP,LOW-MEDIUM,2957.96,2943.92,3190.42,3082.75,4.71,3.38,52.2,2-4 weeks,"Near entry zone, wait for small pullback"
ICICIBANK.NS,ICICI Bank Limited,1380.6,-1.39,4.83,50.4,BUY ON DIP,LOW-MEDIUM,1315.8,1312.23,1439.2,1361.35,4.24,4.95,60.4,2-4 weeks,"Near entry zone, wait for small pullback"
BHARTIARTL.NS,Bharti Airtel Limited,1888.1,0.7,5.92,50.19,BUY ON DIP,LOW-MEDIUM,1806.18,1803.97,1963.26,1858.68,3.98,4.46,52.8,2-4 weeks,"Near entry zone, wait for small pullback"
M&M.NS,Mahindra & Mahindra Limited,3102.5,-1.27,4.47,49.63,WAIT,HIGH,2939.63,2927.66,3241.24,3056.25,4.47,5.64,49.9,1-3 months,"Price near resistance, high risk"
MARUTI.NS,Maruti Suzuki India Limited,13951.0,-2.77,6.51,48.58,BUY ON DIP,LOW-MEDIUM,13294.0,13227.36,14603.0,13868.1,4.67,5.19,57.8,2-4 weeks,"Near entry zone, wait for small pullback"
